,Employee_Name,EmpID,Salary,DOB,Sex,MaritalDesc,DateofHire,DateofTermination,EmploymentStatus,Department,ManagerName,PerformanceScore,Absences,Location,Partner,Amnt_Denied_Leave_Request,Remainding_Leave_Days,Carried_Over_Leave_Days,Cumulative_Leave_Days,Salary_LIABILITY,Leave_Liability
0,"Adinolfi, Wilson  K",232560,120542,07/10/83,M ,Single,7/5/2011,Active,Active,Sales and Distribution       ,Michael Albert,Exceeds,1,Kakamega,Fine Media,2,18,7,25,463.62307692307695,11590.576923076924
1,"Ait Sidi, Karthikeyan   ",236401,145970,05/05/75,M ,Married,3/30/2015,6/16/2016,Voluntarily Terminated,Customer Experince,Simon Roup,Fully Meets,17,Thika,Sheer Logic,1,6,4,10,561.4230769230769,5614.2307692307695
2,"Akinkuolie, Sarah",232365,87839,09/19/88,F,Married,7/5/2011,9/24/2012,Voluntarily Terminated,Sales and Distribution       ,Kissy Sullivan,Fully Meets,3,Murang’a,Fine Media,1,17,2,19,337.8423076923077,6419.003846153846
3,"Alagbe,Trina",236240,114516,09/27/88,F,Married,1/7/2008,Active,Active,Sales and Distribution       ,Elijiah Gray,Fully Meets,15,Bungoma,Sheer Logic,3,16,4,20,440.44615384615383,8808.923076923076
4,"Anderson, Carol ",234860,68966,09/08/89,F,Divorced,7/11/2011,9/6/2016,Voluntarily Terminated,Sales and Distribution       ,Webster Butler,Fully Meets,2,Eastleigh,Fine Media,1,20,6,26,265.25384615384615,6896.6
5,"Anderson, Linda  ",237747,102213,05/22/77,F,Single,1/9/2012,Active,Active,Sales and Distribution       ,Amy Dunn,Exceeds,15,Mombasa,Fine Media,2,13,3,16,393.12692307692305,6290.030769230769
6,"Andreola, Colby",238999,54727,05/24/79,F,Single,11/10/2014,Active,Active,Human Resource,Alex Sweetwater,Fully Meets,19,Mombasa,Sheer Logic,1,14,4,18,210.48846153846154,3788.7923076923075
7,"Athwal, Sam",239037,52699,02/18/83,M ,Widowed,9/30/2013,Active,Active,Sales and Distribution       ,Ketsia Liebig,Fully Meets,19,Umoja,Sheer Logic,2,9,4,13,202.68846153846152,2634.95
8,"Bachiochi, Linda",236367,75909,02/11/70,F,Single,7/6/2009,Active,Active,Sales and Distribution       ,Brannon Miller,Fully Meets,4,Bomet,Sheer Logic,4,18,4,22,291.9576923076923,6423.069230769231
9,"Bacong, Alejandro ",236973,66369,01/07/88,M ,Divorced,1/5/2015,Active,Active,Customer Experince,Peter Monroe,Fully Meets,16,Kericho,Sheer Logic,2,18,4,22,255.26538461538462,5615.838461538462
10,"Baczenski, Rachael  ",233417,77602,01/12/74,F,Married,1/10/2011,1/12/2017,Voluntarily Terminated,Sales and Distribution       ,David Stanley,Fully Meets,12,Nyeri,Fine Media,1,19,3,22,298.46923076923076,6566.323076923077
11,"Barbara, Thomas",239017,44365,02/21/74,M ,Married,4/2/2012,9/19/2016,Voluntarily Terminated,Sales and Distribution       ,Kissy Sullivan,Fully Meets,15,Busia,Sheer Logic,1,9,4,13,170.6346153846154,2218.25
12,"Barbossa, Hector",238874,69380,07/04/88,M ,Divorced,11/10/2014,Active,Active,Customer Experince,Simon Roup,Exceeds,9,Kibra,Sheer Logic,2,15,6,21,266.84615384615387,5603.769230769231
13,"Barone, Francesco  A",233447,61387,07/20/83,M ,Single,2/20/2012,Active,Active,Sales and Distribution       ,Kelley Spirea,Fully Meets,7,Kariobangi,Sheer Logic,4,19,7,26,236.10384615384615,6138.7
14,"Barton, Nader",233844,92257,07/15/77,M ,Divorced,9/24/2012,4/6/2017,Voluntarily Terminated,Sales and Distribution       ,Michael Albert,Fully Meets,1,Embakasi,Fine Media,1,7,2,9,354.8346153846154,3193.5115384615387
15,"Bates, Norman",234765,48205,10/18/81,M ,Single,2/21/2011,8/4/2017,Terminated for Cause,Sales and Distribution       ,Kelley Spirea,Fully Meets,20,Kibra,Fine Media,2,14,3,17,185.40384615384616,3151.8653846153848
16,"Beak, Kimberly  ",232411,149507,04/17/66,F,Married,7/21/2016,Active,Active,Sales and Distribution       ,Kelley Spirea,Exceeds,16,Westlands,Sheer Logic,2,11,4,15,575.026923076923,8625.403846153846
17,"Beatrice, Courtney ",239170,100211,10/27/70,F,Single,4/4/2011,Active,Active,Sales and Distribution       ,Elijiah Gray,Fully Meets,12,Nakuru,Sheer Logic,1,8,6,14,385.42692307692306,5395.9769230769225
18,"Becker, Renee",236036,111321,04/04/86,F,Single,7/7/2014,9/12/2015,Terminated for Cause,Customer Experince,Simon Roup,Fully Meets,8,Vihiga,Fine Media,3,14,5,19,428.1576923076923,8134.996153846154
19,"Becker, Scott",238143,147412,04/06/79,M ,Single,7/8/2013,Active,Active,Sales and Distribution       ,Webster Butler,Fully Meets,13,Mombasa,Sheer Logic,2,20,6,26,566.9692307692308,14741.2
20,"Bernstein, Sean",232140,113729,12/22/70,M ,Single,4/2/2012,Active,Active,Sales and Distribution       ,Amy Dunn,Fully Meets,13,Eastleigh,Sheer Logic,1,11,7,18,437.41923076923075,7873.546153846153
21,"Biden, Lowan  M",237253,99754,12/27/58,F,Divorced,8/19/2013,Active,Active,Sales and Distribution       ,Ketsia Liebig,Fully Meets,2,Lang’ata,Sheer Logic,4,8,6,14,383.66923076923075,5371.369230769231
22,"Billis, Helen",239234,35937,09/01/89,F,Married,7/7/2014,Active,Active,Sales and Distribution       ,Brannon Miller,Exceeds,19,Karen,Sheer Logic,1,9,5,14,138.21923076923076,1935.0692307692307
23,"Blount, Dianna",237872,100450,09/21/90,F,Single,4/4/2011,Active,Active,Sales and Distribution       ,Michael Albert,Needs Improvement,3,Bungoma,Sheer Logic,2,11,5,16,386.34615384615387,6181.538461538462
24,"Bondwell, Betsy",236508,120396,01/16/67,F,Single,1/10/2011,4/4/2014,Voluntarily Terminated,Sales and Distribution       ,Elijiah Gray,Fully Meets,5,Kirinyaga,Fine Media,3,8,2,10,463.0615384615385,4630.615384615385
25,"Booth, Frank",238706,142486,07/30/64,M ,Single,2/17/2014,2/19/2016,Terminated for Cause,Customer Experince,Simon Roup,Fully Meets,2,Kakamega,Sheer Logic,3,20,3,23,548.0230769230769,12604.530769230769
26,"Boutwell, Bonalyn",236705,69028,04/04/87,F,Married,2/16/2015,Active,Active,Admin Offices,Brandon R. LeBlanc,Fully Meets,4,South C,Fine Media,4,13,2,15,265.4923076923077,3982.3846153846152
27,"Bozzi, Charles",235600,146676,03/10/70,M ,Single,9/30/2013,8/7/2014,Voluntarily Terminated,Sales and Distribution       ,Janet King,Fully Meets,14,Nakuru,Sheer Logic,3,18,6,24,564.1384615384616,13539.323076923078
28,"Brill, Donna",239118,61505,08/24/90,F,Married,4/2/2012,6/15/2013,Voluntarily Terminated,Sales and Distribution       ,David Stanley,Fully Meets,6,Busia,Sheer Logic,1,13,6,19,236.55769230769232,4494.596153846154
29,"Brown, Mia",231608,58466,11/24/87,F,Married,10/27/2008,Active,Active,Admin Offices,Brandon R. LeBlanc,Fully Meets,14,Mumias,Fine Media,3,7,6,13,224.86923076923077,2923.3
30,"Buccheri, Joseph  ",237944,84647,07/28/83,M ,Single,9/29/2014,Active,Active,Sales and Distribution       ,Webster Butler,Fully Meets,9,Busia,Fine Media,2,8,4,12,325.56538461538463,3906.784615384616
31,"Bugali, Josephine ",233417,40325,10/30/69,F,Separated,11/11/2013,Active,Active,Sales and Distribution       ,Kissy Sullivan,Fully Meets,17,Kirinyaga,Sheer Logic,2,12,6,18,155.09615384615384,2791.730769230769
32,"Bunbury, Jessica",235747,146755,06/01/64,F,Married,8/15/2011,8/2/2014,Voluntarily Terminated,Sales,John Smith,Fully Meets,19,Bomet,Sheer Logic,2,8,2,10,564.4423076923077,5644.423076923077
33,"Burke, Joelle",232616,149955,03/02/80,F,Single,3/5/2012,Active,Active,Sales and Distribution       ,Amy Dunn,Fully Meets,3,Kilifi,Sheer Logic,3,11,6,17,576.75,9804.75
34,"Burkett, Benjamin ",235743,96413,08/19/77,M ,Married,4/4/2011,Active,Active,Sales and Distribution       ,Ketsia Liebig,Fully Meets,15,Murang’a,Sheer Logic,1,8,4,12,370.8192307692308,4449.83076923077
35,"Cady, Max ",232622,92937,11/22/66,M ,Single,8/15/2011,Active,Active,Human Resource,Jennifer Zamora,Fully Meets,4,Westlands,Fine Media,3,6,6,12,357.45,4289.4
36,"Candie, Calvin",236293,50150,08/09/83,M ,Single,1/28/2016,Active,Active,Sales and Distribution       ,Janet King,Exceeds,14,Busia,Sheer Logic,4,17,4,21,192.8846153846154,4050.5769230769233
37,"Carabbio, Judith",236966,100942,04/05/87,F,Single,11/11/2013,Active,Active,Human Resource,Alex Sweetwater,Fully Meets,3,Donholm,Fine Media,1,11,2,13,388.23846153846154,5047.1
38,"Carey, Michael  ",238771,90025,02/02/83,M ,Single,3/31/2014,Active,Active,Sales and Distribution       ,Kelley Spirea,Fully Meets,14,Kakamega,Sheer Logic,1,16,2,18,346.25,6232.5
